traffic,cb,retry,start,end
static-110,dynamic,dynamic,1676554124356,1676554425403
static-110,dynamic,2,1676554456663,1676554756804
static-110,dynamic,10,1676554758658,1676555060002
static-110,dynamic,none,1676555091034,1676555392228
