traffic,cb,retry,start,end
static-110,1,1,1677800124475,1677800424475
static-110,1,10,1677800427749,1677800727749
static-110,1,5,1677800731141,1677801031141
static-110,50,1,1677801034462,1677801334462
static-110,50,10,1677801337723,1677801637723
static-110,50,5,1677801641010,1677801941010
static-110,100,1,1677801944280,1677802244280
static-110,100,10,1677802247559,1677802547559
static-110,100,5,1677802550926,1677802850926
static-110,1,none,1677802883454,1677803183454
static-110,50,none,1677803185289,1677803485289
static-110,100,none,1677803487104,1677803787104
static-110,none,1,1677803819095,1677804119095
static-110,none,10,1677804120923,1677804420923
static-110,none,5,1677804422767,1677804722767
static-110,none,none,1677804753853,1677805053853
