capacity,traffic,retry_attempt,retry_interval,cb,enforcement_point,start,end
33,0.8,5,100ms,1,3,1677971643980,1677971943984
33,0.8,5,100ms,5,3,1677971959229,1677972259233
33,0.8,5,100ms,10,3,1677972274484,1677972574487
33,0.8,5,100ms,20,3,1677972589730,1677972889740
33,0.8,5,100ms,50,3,1677972904986,1677973204991
33,0.8,5,100ms,500,3,1677973220227,1677973520226
33,0.8,5,100ms,1000,3,1677973535496,1677973835492
33,0.8,10,1ms,1,3,1677973850950,1677974150960
33,0.8,10,1ms,5,3,1677974166206,1677974466211
33,0.8,10,1ms,10,3,1677974481468,1677974781472
33,0.8,10,1ms,20,3,1677974796715,1677975096720
33,0.8,10,1ms,50,3,1677975111958,1677975411970
33,0.8,10,1ms,500,3,1677975427206,1677975727202
33,0.8,10,1ms,1000,3,1677975742440,1677976042445
33,0.8,10,5ms,1,3,1677976057895,1677976357891
33,0.8,10,5ms,5,3,1677976373129,1677976673189
33,0.8,10,5ms,10,3,1677976688441,1677976988450
33,0.8,10,5ms,20,3,1677977003704,1677977303713
33,0.8,10,5ms,50,3,1677977318958,1677977618967
33,0.8,10,5ms,500,3,1677977634209,1677977934243
33,0.8,10,5ms,1000,3,1677977949487,1677978249498
33,0.8,10,10ms,1,3,1677978264964,1677978564975
33,0.8,10,10ms,5,3,1677978580229,1677978880206
33,0.8,10,10ms,10,3,1677978895453,1677979195458
33,0.8,10,10ms,20,3,1677979210709,1677979510716
33,0.8,10,10ms,50,3,1677979525953,1677979825955
33,0.8,10,10ms,500,3,1677979841215,1677980141239
33,0.8,10,10ms,1000,3,1677980156488,1677980456497
33,0.8,10,50ms,1,3,1677980471948,1677980771957
33,0.8,10,50ms,5,3,1677980787223,1677981087232
33,0.8,10,50ms,10,3,1677981102479,1677981402494
33,0.8,10,50ms,20,3,1677981417742,1677981717752
33,0.8,10,50ms,50,3,1677981733001,1677982033011
33,0.8,10,50ms,500,3,1677982048256,1677982348266
33,0.8,10,50ms,1000,3,1677982363521,1677982663527
33,0.8,10,100ms,1,3,1677982678979,1677982978989
33,0.8,10,100ms,5,3,1677982994233,1677983294243
33,0.8,10,100ms,10,3,1677983309483,1677983609492
33,0.8,10,100ms,20,3,1677983624745,1677983924718
33,0.8,10,100ms,50,3,1677983939962,1677984239968
33,0.8,10,100ms,500,3,1677984255202,1677984555208
33,0.8,10,100ms,1000,3,1677984570442,1677984870449
33,0.8,20,1ms,1,3,1677984885915,1677985185901
33,0.8,20,1ms,5,3,1677985201147,1677985501153
33,0.8,20,1ms,10,3,1677985516385,1677985816387
33,0.8,20,1ms,20,3,1677985831636,1677986131642
33,0.8,20,1ms,50,3,1677986146899,1677986446900
33,0.8,20,1ms,500,3,1677986462150,1677986762156
33,0.8,20,1ms,1000,3,1677986777397,1677987077403
33,0.8,20,5ms,1,3,1677987092897,1677987392882
33,0.8,20,5ms,5,3,1677987408107,1677987708109
33,0.8,20,5ms,10,3,1677987723352,1677988023356
33,0.8,20,5ms,20,3,1677988038598,1677988338602
33,0.8,20,5ms,50,3,1677988353846,1677988653838
33,0.8,20,5ms,500,3,1677988669071,1677988969074
33,0.8,20,5ms,1000,3,1677988984320,1677989284322
33,0.8,20,10ms,1,3,1677989300622,1677989600625
33,0.8,20,10ms,5,3,1677989616258,1677989916261
33,0.8,20,10ms,10,3,1677989931517,1677990231520
33,0.8,20,10ms,20,3,1677990246765,1677990546768
33,0.8,20,10ms,50,3,1677990562007,1677990862010
33,0.8,20,10ms,500,3,1677990877250,1677991177309
33,0.8,20,10ms,1000,3,1677991192561,1677991492559
33,0.8,20,50ms,1,3,1677991508005,1677991808012
33,0.8,20,50ms,5,3,1677991823256,1677992123262
33,0.8,20,50ms,10,3,1677992138510,1677992438526
33,0.8,20,50ms,20,3,1677992453761,1677992753769
33,0.8,20,50ms,50,3,1677992768997,1677993069004
33,0.8,20,50ms,500,3,1677993084260,1677993384268
33,0.8,20,50ms,1000,3,1677993399523,1677993699505
33,0.8,20,100ms,1,3,1677993714974,1677994014980
33,0.8,20,100ms,5,3,1677994030237,1677994330235
33,0.8,20,100ms,10,3,1677994345497,1677994645532
33,0.8,20,100ms,20,3,1677994660789,1677994960799
33,0.8,20,100ms,50,3,1677994976041,1677995276044
33,0.8,20,100ms,500,3,1677995291295,1677995591303
33,0.8,20,100ms,1000,3,1677995606551,1677995906546
33,1.0,1,1ms,1,3,1677995922269,1677996222276
33,1.0,1,1ms,5,3,1677996237520,1677996537527
33,1.0,1,1ms,10,3,1677996552782,1677996852789
33,1.0,1,1ms,20,3,1677996868013,1677997167991
33,1.0,1,1ms,50,3,1677997183242,1677997483247
33,1.0,1,1ms,500,3,1677997498486,1677997798491
33,1.0,1,1ms,1000,3,1677997813727,1677998113732
33,1.0,1,5ms,1,3,1677998129194,1677998429234
