traffic,cb,retry,start,end
static-110,1,1,1677805958665,1677806258665
static-110,1,10,1677806262421,1677806562421
static-110,1,5,1677806569352,1677806869352
static-110,50,1,1677806873124,1677807173124
static-110,50,10,1677807176689,1677807476689
static-110,50,5,1677807481447,1677807781447
static-110,100,1,1677807786121,1677808086121
static-110,100,10,1677808089562,1677808389562
static-110,100,5,1677808392971,1677808692971
static-110,1,none,1677808727785,1677809027785
static-110,50,none,1677809030963,1677809330963
static-110,100,none,1677809333131,1677809633131
static-110,none,1,1677809666327,1677809966327
static-110,none,10,1677809968260,1677810268260
static-110,none,5,1677810270318,1677810570318
static-110,none,none,1677810601501,1677810901501
