traffic,cb,retry,start,end
static-110,1,1,1677842520493,1677842820493
static-110,1,10,1677842823818,1677843123818
static-110,1,5,1677843127110,1677843427110
static-110,50,1,1677843430346,1677843730346
static-110,50,10,1677843733540,1677844033540
static-110,50,5,1677844036793,1677844336793
static-110,100,1,1677844339998,1677844639998
static-110,100,10,1677844643247,1677844943247
static-110,100,5,1677844946538,1677845246538
static-110,1,none,1677845279093,1677845579093
static-110,50,none,1677845581198,1677845881198
static-110,100,none,1677845882941,1677846182941
static-110,none,1,1677846214802,1677846514802
static-110,none,10,1677846516640,1677846816640
static-110,none,5,1677846818452,1677847118452
static-110,none,none,1677847149524,1677847449524
