traffic,cb,retry,start,end
static-110,1,1,1677837334602,1677837634602
static-110,1,10,1677837637905,1677837937905
static-110,1,5,1677837941240,1677838241240
static-110,50,1,1677838244427,1677838544427
static-110,50,10,1677838547628,1677838847628
static-110,50,5,1677838850873,1677839150873
static-110,100,1,1677839154247,1677839454247
static-110,100,10,1677839457496,1677839757496
static-110,100,5,1677839760760,1677840060760
static-110,1,none,1677840093276,1677840393276
static-110,50,none,1677840395222,1677840695222
static-110,100,none,1677840697081,1677840997081
static-110,none,1,1677841028902,1677841328902
static-110,none,10,1677841330733,1677841630733
static-110,none,5,1677841632530,1677841932530
static-110,none,none,1677841963553,1677842263553
