traffic,cb_v1,cv_v2,cv_v3,retry,interval,start,end
40,50,1,1000,2,50ms,1678510335508,1678510395513
40,50,1,1000,5,1ms,1678510395766,1678510455770
40,50,1,1000,5,25ms,1678510456022,1678510516023
40,50,1,1000,5,50ms,1678510516282,1678510576287
40,50,50,1,1,1ms,1678510577012,1678510637002
40,50,50,1,1,25ms,1678510637274,1678510697271
40,50,50,1,1,50ms,1678510697533,1678510757538
40,50,50,1,2,1ms,1678510757796,1678510817802
40,50,50,1,2,25ms,1678510818054,1678510878062
40,50,50,1,2,50ms,1678510878306,1678510938304
40,50,50,1,5,1ms,1678510938568,1678510998573
40,50,50,1,5,25ms,1678510998821,1678511058822
40,50,50,1,5,50ms,1678511059059,1678511119064
40,50,50,50,1,1ms,1678511119550,1678511179552
40,50,50,50,1,25ms,1678511179812,1678511239820
40,50,50,50,1,50ms,1678511240069,1678511300074
40,50,50,50,2,1ms,1678511300354,1678511360353
40,50,50,50,2,25ms,1678511360601,1678511420608
40,50,50,50,2,50ms,1678511420849,1678511480850
40,50,50,50,5,1ms,1678511481109,1678511541109
40,50,50,50,5,25ms,1678511541376,1678511601384
40,50,50,50,5,50ms,1678511601638,1678511661643
40,50,50,1000,1,1ms,1678511662146,1678511722149
40,50,50,1000,1,25ms,1678511722398,1678511782405
40,50,50,1000,1,50ms,1678511782667,1678511842666
40,50,50,1000,2,1ms,1678511842909,1678511902906
40,50,50,1000,2,25ms,1678511903161,1678511963168
40,50,50,1000,2,50ms,1678511963441,1678512023441
40,50,50,1000,5,1ms,1678512023695,1678512083699
40,50,50,1000,5,25ms,1678512083957,1678512143963
40,50,50,1000,5,50ms,1678512144211,1678512204215
40,50,1000,1,1,1ms,1678512204907,1678512264912
40,50,1000,1,1,25ms,1678512265176,1678512325182
40,50,1000,1,1,50ms,1678512325462,1678512385467
40,50,1000,1,2,1ms,1678512385726,1678512445730
40,50,1000,1,2,25ms,1678512445978,1678512505986
40,50,1000,1,2,50ms,1678512506253,1678512566261
40,50,1000,1,5,1ms,1678512566522,1678512626527
40,50,1000,1,5,25ms,1678512626782,1678512686788
40,50,1000,1,5,50ms,1678512687055,1678512747062
40,50,1000,50,1,1ms,1678512747557,1678512807562
40,50,1000,50,1,25ms,1678512807829,1678512867831
40,50,1000,50,1,50ms,1678512868097,1678512928099
40,50,1000,50,2,1ms,1678512928383,1678512988392
40,50,1000,50,2,25ms,1678512988639,1678513048664
40,50,1000,50,2,50ms,1678513048917,1678513108927
40,50,1000,50,5,1ms,1678513109186,1678513169187
40,50,1000,50,5,25ms,1678513169447,1678513229452
40,50,1000,50,5,50ms,1678513230237,1678513290246
40,50,1000,1000,1,1ms,1678513290725,1678513350729
40,50,1000,1000,1,25ms,1678513350979,1678513410979
40,50,1000,1000,1,50ms,1678513411249,1678513471249
40,50,1000,1000,2,1ms,1678513471523,1678513531527
40,50,1000,1000,2,25ms,1678513532407,1678513592415
40,50,1000,1000,2,50ms,1678513592668,1678513652670
40,50,1000,1000,5,1ms,1678513652922,1678513712925
40,50,1000,1000,5,25ms,1678513713198,1678513773198
40,50,1000,1000,5,50ms,1678513773475,1678513833474
40,1000,1,1,1,1ms,1678513834435,1678513894438
40,1000,1,1,1,25ms,1678513894698,1678513954704
40,1000,1,1,1,50ms,1678513954968,1678514014977
40,1000,1,1,2,1ms,1678514015212,1678514075213
40,1000,1,1,2,25ms,1678514075504,1678514135512
40,1000,1,1,2,50ms,1678514135790,1678514195797
