traffic,cb,retry,start,end
static-110,1,1,1677765932751,1677766232751
static-110,1,10,1677766235883,1677766535883
static-110,1,5,1677766539088,1677766839088
static-110,50,1,1677766842195,1677767142195
static-110,50,10,1677767145386,1677767445386
static-110,50,5,1677767448454,1677767748454
static-110,100,1,1677767751498,1677768051498
static-110,100,10,1677768054555,1677768354555
static-110,100,5,1677768357785,1677768657785
static-110,1,none,1677768690101,1677768990101
static-110,50,none,1677768991806,1677769291806
static-110,100,none,1677769293536,1677769593536
static-110,none,1,1677769625264,1677769925264
static-110,none,10,1677769927017,1677770227017
static-110,none,5,1677770228682,1677770528682
static-110,none,none,1677770559686,1677770859686
