traffic,cb,retry,start,end
static-110,1,1,1677771401982,1677771701982
static-110,1,10,1677771705018,1677772005018
static-110,1,5,1677772008256,1677772308256
static-110,50,1,1677772311331,1677772611331
static-110,50,10,1677772614381,1677772914381
static-110,50,5,1677772917434,1677773217434
static-110,100,1,1677773220478,1677773520478
static-110,100,10,1677773523499,1677773823499
static-110,100,5,1677773826461,1677774126461
static-110,1,none,1677774158826,1677774458826
static-110,50,none,1677774460499,1677774760499
static-110,100,none,1677774762145,1677775062145
static-110,none,1,1677775093893,1677775393893
static-110,none,10,1677775395709,1677775695709
static-110,none,5,1677775697398,1677775997398
static-110,none,none,1677776028527,1677776328527
