traffic,cb,retry,start,end
static-110,1,1,1677831239965,1677831539965
static-110,1,10,1677831544062,1677831844062
static-110,1,5,1677831847646,1677832147646
static-110,50,1,1677832152254,1677832452254
static-110,50,10,1677832455926,1677832755926
static-110,50,5,1677832759551,1677833059551
static-110,100,1,1677833063199,1677833363199
static-110,100,10,1677833366874,1677833666874
static-110,100,5,1677833670484,1677833970484
static-110,1,none,1677834003334,1677834303334
static-110,50,none,1677834305135,1677834605135
static-110,100,none,1677834606942,1677834906942
static-110,none,1,1677834938931,1677835238931
static-110,none,10,1677835240789,1677835540789
static-110,none,5,1677835542593,1677835842593
static-110,none,none,1677835873688,1677836173688
