traffic,cb,retry,start,end
spike-110-160,1,dynamic,1677680870480,1677681174225
spike-110-160,1,2,1677681206706,1677681506706
spike-110-160,1,10,1677681509819,1677681809819
spike-110-160,1,none,1677681842272,1677682142272
