traffic,cb,retry,start,end
static-110,1,1,1677778075946,1677778375946
static-110,1,10,1677778379020,1677778679020
static-110,1,5,1677778682075,1677778982075
static-110,50,1,1677778985252,1677779285252
static-110,50,10,1677779288320,1677779588320
static-110,50,5,1677779591407,1677779891407
static-110,100,1,1677779894498,1677780194498
static-110,100,10,1677780197556,1677780497556
static-110,100,5,1677780500656,1677780800656
static-110,1,none,1677780833139,1677781133139
static-110,50,none,1677781134855,1677781434855
static-110,100,none,1677781436532,1677781736532
static-110,none,1,1677781768313,1677782068313
static-110,none,10,1677782070009,1677782370009
static-110,none,5,1677782371708,1677782671708
static-110,none,none,1677782702812,1677783002812
