traffic,retry_attempt,retry_interval,cb,pc_succ_req,pc_fail_req,pc_cb_req,pc_c_rt,f_succ_req,f_fail_req,f_cb_req,f_c_rt
19,1,0.001,5,72.4,8.4,0.0,0.03410156249999991,8.8,10.8,0,0.09467391304347825
19,1,0.001,5,61.0,7.2,0.0,0.02895833333333335,8.6,8.2,0,0.09374999999999999
19,1,0.001,5,72.6,8.0,0.0,0.030056818181818115,8.6,7.800000000000001,0,0.11125000000000008
19,1,0.001,5,62.8,12.2,0.0,0.02484999999999999,9.8,9.8,0,0.09355263157894737
19,1,0.001,5,67.2,9.8,0.0,0.03581896551724133,6.8,12.200000000000001,0,0.1474999999999999
19,1,0.001,5,60.2,9.4,0.0,0.027738095238095197,9.4,6.6,0,0.09725
19,1,0.001,5,78.2,9.0,0.0,0.034458333333333355,8.4,10.200000000000001,0,0.0971875
19,1,0.001,5,70.2,8.2,0.0,0.029583333333333305,10.6,8.6,0,0.09653846153846152
19,1,0.001,5,78.6,6.800000000000001,0.0,0.02975,8.6,8.6,0,0.09359375
19,1,0.001,5,55.8,9.0,0.0,0.02498958333333333,10.4,8.8,0,0.09568181818181817
19,1,0.001,5,67.8,8.4,0.0,0.03142857142857141,7.4,6.4,0,0.09802631578947367
19,1,0.001,10,67.4,11.8,0.0,0.02949999999999984,9.8,9.0,0,0.09359375
19,1,0.001,10,66.4,6.8,0.0,0.031849999999999955,8.0,9.4,0,0.09554347826086956
19,1,0.001,10,67.4,10.8,0.0,0.02712500000000002,8.4,8.6,0,0.094125
19,1,0.001,10,74.8,7.0,0.0,0.03379032258064513,9.0,10.2,0,0.09285714285714285
19,1,0.001,10,59.6,8.6,0.0,0.029199999999999955,9.8,7.800000000000001,0,0.09560344827586206
19,1,0.001,10,81.4,11.2,0.0,0.03272321428571425,8.0,10.4,0,0.09691176470588235
19,1,0.001,10,70.2,9.8,0.0,0.03209677419354841,11.0,9.200000000000001,0,0.09673913043478259
19,1,0.001,10,68.8,6.6000000000000005,0.0,0.031249999999999944,8.6,8.4,0,0.09478260869565217
19,1,0.001,10,71.8,9.600000000000001,0.0,0.02738095238095249,8.8,8.2,0,0.09509615384615384
19,1,0.001,10,76.0,8.0,0.0,0.03411290322580647,9.0,9.0,0,0.1
19,1,0.001,10,80.2,12.399999999999999,0.0,0.030919117647058826,13.6,8.8,0,0.09560606060606061
19,1,0.001,10,77.0,7.6,0.0,0.03483870967741937,7.4,10.8,0,0.09925925925925927
19,1,0.001,10,71.4,9.0,0.0,0.024659090909090905,10.6,9.0,0,0.09638888888888887
19,1,0.001,10,82.2,7.8,0.0,0.025284090909090815,11.2,8.4,0,0.09818181818181816
19,1,0.001,10,73.8,8.399999999999999,0.0,0.03176724137931032,9.0,8.799999999999999,0,0.095625
19,1,0.001,10,84.8,10.6,0.0,0.029423076923076875,11.0,7.3999999999999995,0,0.09519230769230769
19,1,0.001,10,76.8,9.600000000000001,0.0,0.024994047619047614,12.2,10.8,0,0.09428571428571428
